23:18:37  [main] 	Initializing Control Panel
23:18:37  [main] 	Windows Version:  Enterprise  64-bit
23:18:37  [main] 	XAMPP Version: 8.2.12
23:18:37  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
23:18:37  [main] 	You are not running with administrator rights! This will work for
23:18:37  [main] 	most application stuff but whenever you do something with services
23:18:37  [main] 	there will be a security dialogue or things will break! So think 
23:18:37  [main] 	about running this application with administrator rights!
23:18:37  [main] 	XAMPP Installation Directory: "d:\xampp\"
23:18:37  [main] 	Checking for prerequisites
23:18:39  [main] 	All prerequisites found
23:18:39  [main] 	Initializing Modules
23:18:39  [main] 	Starting Check-Timer
23:18:39  [main] 	Control Panel Ready
23:19:00  [Apache] 	Attempting to start Apache app...
23:19:00  [Apache] 	Status change detected: running
23:19:00  [mysql] 	Attempting to start MySQL app...
23:19:01  [mysql] 	Status change detected: running
1:38:13  [mysql] 	Attempting to stop MySQL app...
1:38:13  [mysql] 	Status change detected: stopped
1:38:14  [Apache] 	Attempting to stop Apache (PID: 21136)
1:38:14  [Apache] 	Attempting to stop Apache (PID: 21192)
1:38:14  [Apache] 	Status change detected: stopped
2:11:54  [main] 	Deinitializing Modules
2:11:54  [main] 	Deinitializing Control Panel

